observed_skill,proposed_canonical_skill,disposition,rationale
Memory Management,Memory Management,new_canonical_candidate,No existing alias found; requires explicit approval before taxonomy change
MongoDB,NoSQL Database,existing_alias_requires_review,Existing skill_aliases.csv mapping; no source change made
MySQL,SQL,existing_alias_requires_review,Existing skill_aliases.csv mapping; no source change made
Natural Language Processing,NLP,existing_alias_requires_review,Existing skill_aliases.csv mapping; no source change made
Network Layers,Network Layers,new_canonical_candidate,No existing alias found; requires explicit approval before taxonomy change
Network Security,Network Security,new_canonical_candidate,No existing alias found; requires explicit approval before taxonomy change
Neural Networks,Deep Learning,existing_alias_requires_review,Existing skill_aliases.csv mapping; no source change made
NoSQL,NoSQL,new_canonical_candidate,No existing alias found; requires explicit approval before taxonomy change
Normalization,Normalization,new_canonical_candidate,No existing alias found; requires explicit approval before taxonomy change
Optimization Techniques,Optimization Techniques,new_canonical_candidate,No existing alias found; requires explicit approval before taxonomy change
Penetration Testing,Penetration Testing,new_canonical_candidate,No existing alias found; requires explicit approval before taxonomy change
Pointers,Pointers,new_canonical_candidate,No existing alias found; requires explicit approval before taxonomy change
PostgreSQL,SQL,existing_alias_requires_review,Existing skill_aliases.csv mapping; no source change made
Process Management,Process Management,new_canonical_candidate,No existing alias found; requires explicit approval before taxonomy change
PyTorch,PyTorch,new_canonical_candidate,No existing alias found; requires explicit approval before taxonomy change
Query Optimization,Query Optimization,new_canonical_candidate,No existing alias found; requires explicit approval before taxonomy change
RNN,RNN,new_canonical_candidate,No existing alias found; requires explicit approval before taxonomy change
Regression,Regression,new_canonical_candidate,No existing alias found; requires explicit approval before taxonomy change
Relational Database Design,Relational Database Design,new_canonical_candidate,No existing alias found; requires explicit approval before taxonomy change
Requirements Engineering,Requirements Engineering,new_canonical_candidate,No existing alias found; requires explicit approval before taxonomy change
Responsive Design,Responsive Design,new_canonical_candidate,No existing alias found; requires explicit approval before taxonomy change
Routing Protocols,Routing Protocols,new_canonical_candidate,No existing alias found; requires explicit approval before taxonomy change
SDLC,SDLC,new_canonical_candidate,No existing alias found; requires explicit approval before taxonomy change
Scheduling Algorithms,Scheduling Algorithms,new_canonical_candidate,No existing alias found; requires explicit approval before taxonomy change
Search Algorithms,Search Algorithms,new_canonical_candidate,No existing alias found; requires explicit approval before taxonomy change
Statistics,Statistics,new_canonical_candidate,No existing alias found; requires explicit approval before taxonomy change
Supervised Learning,Supervised Learning,new_canonical_candidate,No existing alias found; requires explicit approval before taxonomy change
Support Vector Machines,Support Vector Machines,new_canonical_candidate,No existing alias found; requires explicit approval before taxonomy change
TCP/IP,TCP/IP,new_canonical_candidate,No existing alias found; requires explicit approval before taxonomy change
TensorFlow,TensorFlow,new_canonical_candidate,No existing alias found; requires explicit approval before taxonomy change
Testing,Testing,new_canonical_candidate,No existing alias found; requires explicit approval before taxonomy change
Testing Methodologies,Testing Methodologies,new_canonical_candidate,No existing alias found; requires explicit approval before taxonomy change
Transactions,Transactions,new_canonical_candidate,No existing alias found; requires explicit approval before taxonomy change
Unsupervised Learning,Unsupervised Learning,new_canonical_candidate,No existing alias found; requires explicit approval before taxonomy change
Version Control,Version Control,new_canonical_candidate,No existing alias found; requires explicit approval before taxonomy change
Virtualization,Virtualization,new_canonical_candidate,No existing alias found; requires explicit approval before taxonomy change
Vue.js,Vue.js,new_canonical_candidate,No existing alias found; requires explicit approval before taxonomy change
Web Development,Web Development,new_canonical_candidate,No existing alias found; requires explicit approval before taxonomy change
