mapping_id,course_id,course_code,course_title,skill,skill_category,coverage,gap_analysis
M089,CUR019,CS201,Machine Learning and Deep Learning,Support Vector Machines,Machine Learning,Medium,Theory covered but practical implementation limited
M090,CUR019,CS201,Machine Learning and Deep Learning,Neural Networks,Deep Learning,Medium,Introduction only, modern architectures not covered
M091,CUR019,CS201,Machine Learning and Deep Learning,CNN,Deep Learning,Low,INDUSTRY GAP: Modern DL architectures (CNN/RNN) rarely covered
M092,CUR019,CS201,Machine Learning and Deep Learning,RNN,Deep Learning,Low,INDUSTRY GAP: Modern DL architectures (CNN/RNN) rarely covered
M093,CUR019,CS201,Machine Learning and Deep Learning,Optimization Techniques,Machine Learning,Medium,Theory covered but hands-on optimization projects limited
M094,CUR020,CS207,Software Engineering Principles,SDLC,Software Engineering,High,Foundational - Widely Taught
M095,CUR020,CS207,Software Engineering Principles,Requirements Engineering,Software Engineering,High,Foundational - Widely Taught
M096,CUR020,CS207,Software Engineering Principles,Design Principles,Software Engineering,High,Foundational - Widely Taught
M097,CUR020,CS207,Software Engineering Principles,Testing Methodologies,Software Engineering,Medium,Theory covered but hands-on automation testing not taught
M098,CUR020,CS207,Software Engineering Principles,Deployment,Software Engineering,Low,INDUSTRY GAP: Deployment and DevOps practices not taught
M099,CUR020,CS207,Software Engineering Principles,Maintenance,Software Engineering,Medium,Mentioned but practical monitoring and logging not taught
M100,CUR020,CS207,Software Engineering Principles,Documentation,Software Engineering,Medium,Importance stated but practical technical writing not emphasized
